Date,Open,High,Low,Close,Adj Close,Volume
2019-02-14,81.110001,82.500000,81.019997,81.849998,77.264244,5625500
2019-02-15,82.800003,83.559998,82.199997,83.459999,78.784042,6435100
2019-02-19,83.529999,83.699997,82.629997,83.389999,78.717964,5307100
2019-02-20,83.480003,85.779999,83.389999,85.040001,80.275520,5633000
2019-02-21,85.050003,85.820000,84.529999,85.580002,80.785263,5887200
2019-02-22,85.480003,87.250000,85.160004,87.150002,82.267296,4317800
2019-02-25,87.410004,87.699997,86.570000,86.599998,81.748123,5020100
2019-02-26,86.309998,87.470001,86.199997,86.510002,81.663162,4756200
2019-02-27,87.279999,87.599998,86.730003,87.269997,82.380585,4669900
2019-02-28,87.269997,87.540001,86.760002,86.940002,82.069077,4290100
2019-03-01,87.419998,87.699997,86.750000,87.510002,82.607147,4379100
2019-03-04,87.800003,88.000000,86.660004,87.279999,82.390022,3711700
2019-03-05,86.820000,87.680000,86.540001,86.980003,82.106834,5547100
2019-03-06,86.980003,87.379997,86.379997,87.019997,82.144585,4938400
2019-03-07,87.070000,87.139999,86.389999,86.970001,82.097397,4802400
2019-03-08,86.910004,87.970001,86.760002,87.449997,82.550491,3865500
2019-03-11,87.610001,89.500000,87.610001,89.239998,84.240211,6022500
2019-03-12,89.500000,90.269997,88.480003,88.800003,83.824860,5669800
2019-03-13,88.889999,89.790001,88.580002,89.500000,84.485649,4468900
2019-03-14,89.129997,89.910004,88.959999,89.790001,84.759399,4534700
2019-03-15,89.559998,91.320000,89.400002,90.849998,85.760010,12348400
2019-03-18,91.239998,91.300003,90.559998,90.730003,85.646736,5948500
2019-03-19,90.730003,91.550003,90.150002,90.500000,85.429619,6075400
2019-03-20,90.300003,91.019997,89.860001,90.739998,85.656166,5253800
2019-03-21,90.339996,92.010002,90.230003,91.910004,86.760628,4262600
2019-03-22,91.669998,92.739998,91.129997,91.169998,86.062073,5980000
2019-03-25,89.529999,89.790001,88.169998,88.269997,84.379646,7938800
2019-03-26,88.610001,89.440002,88.279999,88.589996,84.685539,5925700
2019-03-27,88.269997,88.610001,85.949997,87.029999,83.194298,6483200
2019-03-28,87.000000,87.980003,86.889999,87.279999,83.433273,5840000
2019-03-29,87.480003,88.510002,87.080002,88.389999,84.494354,6314000
2019-04-01,88.379997,88.830002,87.940002,88.199997,84.312729,4249600
2019-04-02,88.650002,89.089996,87.739998,88.010002,84.131111,3995200
2019-04-03,87.540001,87.860001,85.180000,85.809998,82.028061,7540300
2019-04-04,86.089996,86.699997,85.949997,86.070000,82.276611,4672800
2019-04-05,86.110001,86.250000,84.910004,85.440002,81.674377,5495000
2019-04-08,85.769997,85.830002,84.959999,85.309998,81.550102,4439100
2019-04-09,85.230003,86.040001,85.089996,85.839996,82.056747,3898900
2019-04-10,85.519997,86.040001,85.410004,85.709999,81.932472,2855400
2019-04-11,85.760002,86.000000,85.470001,85.510002,81.741287,3893400
2019-04-12,86.000000,86.040001,85.349998,85.769997,81.989830,4652900
2019-04-15,86.099998,86.690002,85.860001,86.190002,82.391319,3491300
2019-04-16,86.239998,86.660004,85.839996,86.209999,82.410431,4544800
2019-04-17,86.419998,86.500000,85.150002,85.480003,81.712616,4675700
2019-04-18,85.639999,87.449997,82.629997,84.489998,80.766243,7765400
2019-04-22,84.139999,85.389999,83.910004,84.290001,80.575058,3530300
2019-04-23,84.400002,85.070000,83.919998,84.910004,81.167732,6397600
2019-04-24,84.730003,84.830002,83.169998,84.449997,80.728004,4716500
2019-04-25,83.449997,83.900002,82.449997,83.589996,79.905907,5241400
2019-04-26,83.940002,85.129997,83.889999,84.760002,81.024345,3930300
2019-04-29,84.669998,85.300003,84.389999,84.900002,81.158180,4416700
2019-04-30,84.830002,87.529999,84.570000,86.559998,82.745010,5640300
2019-05-01,87.050003,87.129997,85.680000,85.779999,81.999390,3655700
2019-05-02,85.419998,86.730003,84.709999,84.919998,81.177292,2852800
2019-05-03,85.510002,85.949997,84.919998,85.699997,81.922920,2738800
2019-05-06,85.220001,85.889999,84.459999,85.120003,81.368484,3307900
2019-05-07,84.610001,84.839996,83.029999,84.430000,80.708893,4804400
2019-05-08,84.220001,84.550003,83.360001,83.809998,80.116211,3224000
2019-05-09,83.379997,84.230003,82.669998,83.930000,80.230927,3503200
2019-05-10,83.440002,84.809998,82.599998,84.540001,80.814041,3318400
2019-05-13,83.849998,83.879997,83.129997,83.699997,80.011063,2491200
2019-05-14,83.290001,85.260002,83.070000,84.089996,80.383865,3157100
2019-05-15,83.739998,85.580002,83.510002,85.339996,81.578773,3223700
2019-05-16,85.349998,86.089996,84.940002,85.510002,81.741287,2928000
2019-05-17,85.739998,87.199997,84.879997,86.809998,82.983986,3886200
2019-05-20,86.570000,87.570000,85.720001,86.230003,82.429558,3131300
2019-05-21,86.449997,86.699997,85.629997,85.760002,81.980270,3165300
2019-05-22,85.370003,85.959999,84.730003,85.489998,81.722168,2886000
2019-05-23,85.489998,86.279999,85.360001,86.239998,82.439117,2814700
2019-05-24,86.220001,86.220001,83.830002,84.639999,80.909630,3283900
2019-05-28,84.019997,84.019997,80.919998,81.550003,77.955826,8499900
2019-05-29,80.739998,81.720001,80.699997,81.139999,77.563889,4282100
2019-05-30,81.320000,81.559998,79.349998,79.599998,76.091759,3827700
2019-05-31,79.309998,79.860001,76.989998,77.129997,73.730621,6420800
2019-06-03,77.510002,78.639999,76.870003,78.610001,75.145401,5160200
2019-06-04,79.150002,79.489998,78.169998,78.500000,75.040245,3850900
2019-06-05,78.949997,79.000000,76.650002,77.250000,73.845337,5201800
2019-06-06,77.550003,78.680000,77.110001,77.199997,73.797539,4730500
2019-06-07,77.820000,78.769997,77.570000,78.169998,74.724785,4590000
2019-06-10,78.150002,78.389999,76.639999,76.959999,73.568115,4617000
