Date,Open,High,Low,Close,Adj Close,Volume
2019-02-14,47.250000,47.660000,46.880001,47.320000,46.367336,7871800
2019-02-15,47.529999,48.209999,47.500000,48.160000,47.190426,10522200
2019-02-19,47.660000,48.320000,47.450001,48.099998,47.131630,7861200
2019-02-20,47.889999,48.200001,47.639999,47.990002,47.023849,10711200
2019-02-21,47.910000,48.459999,47.880001,48.410000,47.435390,6209200
2019-02-22,47.439999,47.919998,47.320000,47.720001,46.759289,12798800
2019-02-25,47.730000,47.799999,47.070000,47.209999,46.259548,10070500
2019-02-26,47.270000,47.580002,47.189999,47.430000,46.475128,7475300
2019-02-27,47.360001,47.380001,47.000000,47.130001,46.181164,8153400
2019-02-28,47.090000,47.360001,46.959999,47.160000,46.210560,8498500
2019-03-01,47.189999,47.340000,47.029999,47.230000,46.279148,8114500
2019-03-04,47.349998,47.459999,46.529999,46.990002,46.043980,9588000
2019-03-05,47.020000,47.150002,46.759998,46.930000,45.985188,8406500
2019-03-06,46.860001,47.130001,46.830002,46.970001,46.024384,5660900
2019-03-07,46.959999,47.230000,46.750000,46.810001,45.867607,8070100
2019-03-08,46.490002,46.900002,46.369999,46.580002,45.642239,6699800
2019-03-11,46.610001,47.160000,46.520000,47.119999,46.171360,6326200
2019-03-12,47.139999,47.430000,46.779999,46.950001,46.004787,5856600
2019-03-13,47.119999,47.500000,47.080002,47.279999,46.328140,6289700
2019-03-14,47.340000,47.450001,47.119999,47.349998,46.396732,5617300
2019-03-15,47.430000,47.959999,47.380001,47.799999,46.837677,9676900
2019-03-18,47.820000,48.090000,47.770000,48.040001,47.072842,5817900
2019-03-19,48.189999,48.500000,48.070000,48.240002,47.268818,6252400
2019-03-20,48.220001,48.549999,47.910000,48.180000,47.210026,6560100
2019-03-21,48.029999,48.990002,47.709999,48.880001,47.895931,6773900
2019-03-22,48.790001,49.330002,48.790001,49.130001,48.140900,6978800
2019-03-25,49.049999,49.490002,49.040001,49.410000,48.415264,5390300
2019-03-26,49.560001,50.049999,49.430000,49.790001,48.787609,7059300
2019-03-27,49.700001,49.980000,49.320000,49.630001,48.630833,7400100
2019-03-28,49.060001,49.660000,49.009998,49.349998,48.611130,6416900
2019-03-29,49.500000,49.959999,49.419998,49.919998,49.172592,6701200
2019-04-01,49.980000,50.000000,49.529999,49.689999,48.946041,6196000
2019-04-02,49.630001,49.700001,49.459999,49.639999,48.896790,5159500
2019-04-03,49.480000,50.020000,49.330002,49.730000,48.985443,6810400
2019-04-04,49.650002,49.849998,49.549999,49.650002,48.906639,5477200
2019-04-05,49.660000,49.790001,49.480000,49.680000,48.936192,6246000
2019-04-08,49.570000,49.669998,49.450001,49.610001,48.867237,6456400
2019-04-09,49.459999,49.720001,49.400002,49.639999,48.896790,5037500
2019-04-10,49.770000,49.919998,49.549999,49.700001,48.955894,4539800
2019-04-11,49.840000,49.919998,49.439999,49.669998,48.926334,4670500
2019-04-12,49.709999,49.849998,49.590000,49.790001,49.044544,5016600
2019-04-15,49.910000,50.400002,49.880001,50.279999,49.527206,7869000
2019-04-16,50.360001,50.520000,50.080002,50.119999,49.369602,5150800
2019-04-17,50.389999,50.389999,49.840000,50.230000,49.477955,4698100
